54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54
54	54	54	54	54	54	54	54	54	54	54	54	41	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	42	54
54	54	54	54	54	54	54	54	54	54	54	54	47	61	1	1	1	1	1	1	1	1	1	1	1	1	1	11	49	54
54	54	41	48	48	48	48	48	48	48	42	54	47	69	33	33	30	32	32	32	32	32	32	32	28	33	33	35	49	54
54	54	47	8	68	68	68	68	68	25	49	54	47	69	30	32	29	33	33	33	33	33	33	33	60	32	28	35	49	54
54	54	47	67	65	65	65	65	65	66	49	54	47	69	64	33	33	33	33	33	33	33	33	33	33	33	64	35	49	54
54	54	47	67	65	65	65	65	26	18	55	55	55	32	62	33	33	33	33	33	33	33	33	33	33	33	64	35	49	54
54	54	47	67	65	65	65	65	17	66	49	54	47	69	60	32	32	31	32	32	32	32	32	32	32	32	29	35	49	54
54	54	47	67	65	65	65	65	17	66	49	54	47	10	36	36	36	64	36	36	36	36	36	36	36	36	36	9	49	54
54	54	47	67	65	65	65	65	17	66	49	54	44	50	50	50	50	56	50	50	50	50	50	50	50	50	50	50	43	54
54	54	47	67	65	65	65	65	17	66	49	54	54	54	54	54	54	56	54	54	54	54	54	54	54	54	54	54	54	54
54	54	47	67	65	65	65	65	17	66	48	48	48	48	48	48	48	56	48	48	42	54	54	54	54	54	54	54	54	54
54	54	47	67	65	65	65	65	17	65	68	68	68	68	68	68	68	17	68	25	49	54	54	54	54	54	54	54	54	54
54	54	47	67	65	26	18	18	16	18	18	52	18	18	18	18	18	70	65	66	49	54	54	54	54	54	54	54	54	54
54	54	47	67	65	17	65	65	65	65	65	17	65	65	65	65	65	17	65	66	49	54	54	54	54	54	54	54	54	54
54	54	47	67	65	59	18	18	18	18	18	70	65	65	65	65	65	17	65	66	49	54	54	54	54	54	54	54	54	54
54	54	47	67	65	17	65	65	65	65	65	17	65	65	65	65	65	17	65	66	49	54	54	54	54	54	54	54	54	54
54	54	47	67	65	24	18	18	18	18	18	63	18	18	18	18	18	23	65	66	49	54	54	54	54	54	54	54	54	54
54	54	47	7	34	34	34	34	34	34	34	17	34	34	34	34	34	34	34	6	49	54	54	54	54	54	54	54	54	54
54	54	44	50	50	50	50	58	53	53	53	56	53	53	53	57	50	50	50	50	43	54	54	54	54	54	54	54	54	54
54	54	54	54	54	54	54	47	8	68	68	17	68	68	25	49	54	54	54	54	54	54	54	54	54	54	54	54	54	54
54	54	54	54	54	54	54	47	67	21	51	45	51	22	66	49	54	54	54	54	54	54	54	54	54	54	54	54	54	54
54	54	54	54	54	54	54	47	67	20	14	14	14	19	66	49	54	54	54	54	54	54	54	54	54	54	54	54	54	54
54	54	54	54	54	54	54	47	7	34	34	34	34	34	6	49	54	54	54	54	54	54	54	54	54	54	54	54	54	54
54	54	54	54	54	54	54	44	50	50	50	50	50	50	50	43	54	54	54	54	54	54	54	54	54	54	54	54	54	54
